,ADF Statistic,p-value,Lags,CV 1%,CV 5%,CV 10%,Reject H0 (5%)
MMM,-4.591678768352036,0.00013380904272637764,32,-3.4317136519365454,-2.862142581115114,-2.5670907556173974,True
AXP,-4.584251883426678,0.00013808369436279298,18,-3.4317102480761292,-2.862141077334742,-2.5670899550918262,True
AMGN,-8.218291965779962,6.533289382934387e-13,14,-3.4317091172290732,-2.8621405777411355,-2.5670896891371915,True
AAPL,-4.578610942933148,0.0001414171230213261,32,-3.431714220903537,-2.862142832477015,-2.5670908894279427,True
BA,-4.390893232345227,0.0003080439392922085,31,-3.431713936360705,-2.862142706769857,-2.5670908225087175,True
CAT,-6.865431956364922,1.5635452735331453e-09,10,-3.4317079882607233,-2.862140078977328,-2.5670894236243256,True
CVX,-5.07948817039624,1.5413314115404877e-05,28,-3.431713083443947,-2.862142329962746,-2.567090621918403,True
CSCO,-4.894529866547145,3.573953183110713e-05,31,-3.431713936360705,-2.862142706769857,-2.5670908225087175,True
KO,-6.4115811456175935,1.8850650688092656e-08,17,-3.4317093997645256,-2.8621407025616628,-2.5670897555843912,True
DIS,-5.375663736891056,3.8095270630668467e-06,24,-3.431711947879558,-2.8621418282855604,-2.56709035485451,True
DOW,-3.814730537864781,0.002760147406311788,6,-3.4391937559530965,-2.8654430713273373,-2.568848417404698,True
GS,-5.690067549428958,8.109635490505606e-07,18,-3.43170996518798,-2.8621409523584336,-2.5670898885616915,True
HD,-4.564574061853021,0.00015004827411443304,32,-3.431713936360705,-2.862142706769857,-2.5670908225087175,True
HON,-4.731213662642378,7.34959459672215e-05,31,-3.4317136519365454,-2.862142581115114,-2.5670907556173974,True
IBM,-7.073439029566927,4.870206577371748e-10,13,-3.4317085525103526,-2.862140328255636,-2.567089556325606,True
INTC,-6.500955153489633,1.1622235210385891e-08,14,-3.43170883481104,-2.8621404529724708,-2.567089622717602,True
JNJ,-7.656602885480406,1.732357379732739e-11,11,-3.431707706311635,-2.86213995441579,-2.5670893573150066,True
JPM,-4.872925960980087,3.9362630378481965e-05,19,-3.43170996518798,-2.8621409523584336,-2.5670898885616915,True
MCD,-4.8122934623344245,5.151622202935848e-05,31,-3.431713367630984,-2.862142455512755,-2.567090688753965,True
MRK,-5.145537074465436,1.134564175927702e-05,29,-3.43171279937536,-2.862142204465055,-2.5670905551106937,True
MSFT,-6.915992855172609,1.1791198882290362e-09,14,-3.4317085525103526,-2.862140328255636,-2.567089556325606,True
NKE,-4.835680733277778,4.645313382235026e-05,31,-3.431713367630984,-2.862142455512755,-2.567090688753965,True
PG,-7.6338399331552615,1.9762875239679693e-11,12,-3.4317079882607233,-2.862140078977328,-2.5670894236243256,True
CRM,-4.338316845644296,0.0003810272351582135,32,-3.431828666102382,-2.8621933918375224,-2.567117804475087,True
TRV,-3.9894377741501783,0.0014668392777656108,22,-3.4320885136089414,-2.8623081795146947,-2.567178912401847,True
UNH,-5.51543003834018,1.9298654739448677e-06,18,-3.4317096824174698,-2.862140827434085,-2.5670898220592187,True
VZ,-5.364644315580104,4.017181298328805e-06,29,-3.43171279937536,-2.862142204465055,-2.5670905551106937,True
V,-4.769578505832455,6.216187775532497e-05,17,-3.432218674967994,-2.862365674554042,-2.5672095208775207,True
WBA,-6.551627945706621,8.821531248905984e-09,18,-3.4317096824174698,-2.862140827434085,-2.5670898220592187,True
WMT,-6.933593996355779,1.0685763574900157e-09,14,-3.4317085525103526,-2.862140328255636,-2.567089556325606,True
