,MFE,RMSE
MMM,-0.063389,0.563455
AXP,-0.042863,0.590707
AMGN,-0.034689,0.554114
AAPL,-0.12805,0.61774
BA,-0.019224,0.617817
CAT,-0.056996,0.567607
CVX,-0.03189,0.508346
CSCO,-0.113987,0.52841
KO,-0.051968,0.518432
DIS,-0.068,0.591375
DOW,-0.082738,0.504381
GS,-0.049628,0.534852
HD,-0.094644,0.56034
HON,-0.121796,0.576735
IBM,-0.035155,0.563644
INTC,-0.072105,0.564343
JNJ,-0.011865,0.571707
JPM,-0.057605,0.560662
MCD,-0.096449,0.565328
MRK,-0.089734,0.564049
MSFT,-0.052709,0.556134
NKE,-0.041789,0.546009
PG,-0.042139,0.531702
CRM,-0.192392,0.603862
TRV,-0.028264,0.545125
UNH,-0.10082,0.581805
VZ,-0.086207,0.547799
V,-0.067203,0.581365
WBA,-0.026509,0.592826
WMT,-0.064089,0.574688
