,MFE,RMSE
MMM,-0.011717,0.523521
AXP,-0.00417,0.539008
AMGN,-0.00572,0.52339
AAPL,-0.026306,0.577266
BA,0.00245,0.56652
CAT,-0.010096,0.519037
CVX,-0.003684,0.469286
CSCO,-0.026045,0.491112
KO,-0.007442,0.483178
DIS,-0.010505,0.548101
DOW,-0.029211,0.472495
GS,-0.008869,0.497719
HD,-0.01619,0.519342
HON,-0.026824,0.528637
IBM,-0.005105,0.52543
INTC,-0.013342,0.525729
JNJ,0.003044,0.53175
JPM,-0.009919,0.515633
MCD,-0.013658,0.518949
MRK,-0.017152,0.523092
MSFT,-0.008889,0.524292
NKE,-0.005047,0.513953
PG,-0.006347,0.491395
CRM,-0.034851,0.55152
TRV,-0.002457,0.50603
UNH,-0.017307,0.536516
VZ,-0.017737,0.505871
V,-0.008883,0.539224
WBA,-0.000194,0.563371
WMT,-0.009652,0.537261
