,β₀,β₁ (D),β₂ (W),β₃ (M),R²
MMM,-0.5682382696598235,0.37356125660795864,0.35065562333295097,0.21503726327864373,0.6609309285771862
AXP,-0.30345638048721224,0.37414839774134706,0.36460346725379006,0.2274637870690352,0.7802709753960054
AMGN,-0.9217362498114714,0.34023423342054204,0.3565922769201736,0.19906410031365826,0.5201275421590529
AAPL,-0.5494570993604594,0.4161929714553348,0.279017497532272,0.24158277260335834,0.644737057234634
BA,-0.4704412103155183,0.3520782985399495,0.3569052080620293,0.23749818203457743,0.6722444979659467
CAT,-0.5034173442525575,0.3414226116729039,0.3839998057882989,0.21669334875684385,0.6661411559119625
CVX,-0.4731069535611265,0.3903837072800062,0.40959733939839166,0.14766617213984562,0.7224147654265252
CSCO,-0.5564208699407064,0.39973188382210856,0.3342816455932478,0.2032707728215856,0.6660434875589762
KO,-0.6562083974635535,0.34820693777665507,0.38031977439964326,0.20327259632872513,0.6357276670388687
DIS,-0.5333979406296887,0.3796052791008164,0.3445994549276088,0.21686004069173445,0.6688335976875672
DOW,-0.7334661436617559,0.3336822113293235,0.4819699421384126,0.0947739347899624,0.6241467631768896
GS,-0.458669618646268,0.40478788809133,0.3410037991044232,0.20156742684951612,0.7038442910300944
HD,-0.4772075695027529,0.3749456513512479,0.35668766718846767,0.21536152587339674,0.694971711335095
HON,-0.46245056510677024,0.3838406966767013,0.36688834689554783,0.19843612144045486,0.7154608998424813
IBM,-0.6484927428009648,0.35782022807411307,0.389334408526117,0.18374542529886806,0.6420695705736934
INTC,-0.5635119845822727,0.387934071117988,0.29393668113898397,0.25361309413320543,0.6313157660208992
JNJ,-0.798094648389481,0.32695271297528894,0.4081645611020721,0.1827076599590511,0.5975207117204722
JPM,-0.340164002724792,0.4238339829069896,0.3357732062254455,0.20196645533772972,0.7702406601635011
MCD,-0.5496792769716358,0.3281892909117933,0.39136797348166086,0.22211899491917736,0.6666345800330781
MRK,-0.6537875061863175,0.3242749103794902,0.37336316232344974,0.2306859485124408,0.6025807558295615
MSFT,-0.6411305017100981,0.36501251132171647,0.38645213615775964,0.1777546000875655,0.6401041167586936
NKE,-0.5878880796461651,0.3864749782712599,0.3020681560268061,0.24619496228531504,0.6306871070048106
PG,-0.7530954147677383,0.3224509376379677,0.44548232618994293,0.15390395708476284,0.6158842594335189
CRM,-0.49581431630106465,0.35985764132210074,0.28593751174035487,0.29342132864036446,0.6259850857321523
TRV,-0.3382322434830343,0.37838763147774873,0.4113630043863318,0.1733551168713376,0.7823326084643081
UNH,-0.48148515963550703,0.3365330599443877,0.3341068535254316,0.27467608370776986,0.6573334395402042
VZ,-0.6094310168948663,0.3465869504722025,0.38603454040206464,0.20198083892838026,0.6502422470114537
V,-0.46380390528505905,0.39186145512445253,0.3446920003868742,0.21202784778586808,0.7036587932163882
WBA,-0.7560139796587818,0.3463963777545751,0.2693015247425831,0.2985880781652677,0.5287222049211314
WMT,-0.7245354277713176,0.3187716904768893,0.3817556049640119,0.22258271854392317,0.5890264610370137
