date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,-8.932895710765846,-7.67306799835353,-7.908786872487716,-7.376920169724806,-7.651509208144588,-8.045595380416428,-9.60551700511574,-7.52951670124708,-8.405886104989847,-7.88336491869509,,-7.983718132851987,-7.710243202248823,-6.7504579538489935,-8.34365795419519,-7.3332222449775735,-8.377207949407847,-7.377898529269745,-7.846207022619852,-7.665107591963379,-8.357716271623275,-8.229855938667935,-8.725405606785698,,,-8.936543719087036,-8.25534465087448,,-7.924335268084568,-8.236761858570235
2003-01-03,-9.043069654884555,-8.193658989769217,-8.32337634940678,-7.360376075887717,-7.973145793513449,-8.876048928076354,-9.201420537599418,-8.098100246720234,-8.474919094830673,-7.6712411500703475,,-8.203680229918143,-6.519674587685338,-7.412865196513658,-8.550829478250916,-7.329815980666533,-8.598911457190333,-7.831613131080286,-7.919816818726115,-8.999413112264149,-8.52469625540097,-8.631727101689574,-9.257948159233326,,,-8.53075855162186,-8.292457502057339,,-7.826298417873551,-8.049126586009358
2003-01-06,-9.490207901398378,-7.605975468735046,-8.326484367340344,-7.383797575034374,-8.316887877357365,-8.670963887531348,-8.63778566722326,-8.136870804416652,-8.753082388879157,-8.210443779217371,,-8.221653253275655,-8.371796571866984,-8.479703375016827,-8.26021418309221,-8.153572579492028,-9.133502656490663,-7.499758745600937,-8.571749658022023,-8.938464656886175,-8.939671663778242,-8.753976896728883,-9.16123816388624,,,-8.719620005655964,-7.57823127001891,,-8.161443671329671,-8.845206659118915
2003-01-07,-8.94878374863334,-7.766408284475486,-8.218507959490864,-7.362555934467627,-7.502517808488519,-8.569907513665479,-8.820379832289124,-7.498936176374155,-8.6434880428636,-7.704313949404514,,-7.926391341864997,-8.210558519047432,-7.805530759092059,-8.690367949650915,-7.244151522857757,-8.47696718147912,-7.725904536883128,-8.100361883415378,-8.75992454879218,-7.968570006461562,-9.25760421110433,-9.222437420747248,,,-8.37759671345513,-7.838819787222096,,-8.289063145284436,-8.697413149286195
2003-01-08,-9.774371657859335,-7.991367991930549,-8.410554186543914,-7.665795690235686,-8.388539919284495,-7.94934085531226,-8.985866717255702,-7.861856440315844,-8.596464468391476,-8.031512997437986,,-8.06504207577756,-8.44823935261579,-8.325171238254901,-8.857231043016576,-7.577207671049012,-8.396401348754289,-7.694748474374462,-8.257059443127218,-8.965817013158624,-8.249579829809575,-8.166144859130434,-9.08016649924965,,,-8.224411322075191,-7.81014628019102,,-8.981334141487373,-8.530016499156446
2003-01-09,-9.29058127106704,-8.34562819643029,-7.7745410187182085,-7.825722553968616,-8.752501725293113,-8.178077399030284,-9.282505590594365,-8.263929039668373,-9.076721047063165,-7.583098625700267,,-9.001159401945793,-8.400723704057656,-8.11848435351374,-8.606809351967836,-7.653759637165423,-8.425489478385908,-8.17066110821633,-8.389913472307684,-8.727805193262313,-8.6823345632796,-8.54237096689727,-9.285703984101149,,,-8.231293936033316,-7.895651742261511,,-9.407260565201504,-8.852827952661963
2003-01-10,-8.894368572592127,-8.316967297382147,-8.10308365314986,-7.4687279986024615,-7.8461582669321235,-7.969816537315238,-9.084976086126174,-7.672558216645006,-8.791590902616607,-7.505419006641396,,-8.091023111042349,-7.637193512654161,-7.636470875223218,-8.16102346349585,-7.431956646146033,-8.671700233445081,-7.807146530462941,-8.065329584153472,-8.739223913659478,-7.967490143304494,-7.920244247603459,-9.034515947949972,,,-8.599908319283223,-8.827505976387268,,-8.240309159456334,-8.099285907346598
2003-01-13,-8.87210542596516,-8.018592005943999,-8.455470835620421,-7.580690956261618,-7.8371898691284265,-8.570203772153233,-8.878264436825656,-7.833209303260074,-8.787630948920066,-8.035007994918416,,-8.484256081232852,-8.505494287913114,-8.063427503059213,-8.59315851515899,-7.632747617841968,-8.3550668295742,-8.013860317618763,-7.961516995410218,-8.975241836775384,-8.514835118837645,-8.178913663398783,-8.793193049509116,,,-8.17843287396253,-8.387216870813397,,-7.966216619679558,-8.301415541143395
2003-01-14,-9.637256056795495,-8.562242430040135,-8.535264413613188,-7.384456518473976,-8.554869299522792,-7.904015996272898,-9.565482936853394,-8.338812606619078,-9.285467872495502,-8.030734737608741,,-8.846969305543643,-8.53662500829801,-8.365636766958943,-8.762417358630152,-8.080911151019627,-8.943727152037532,-8.379777248116328,-8.295346395306858,-9.333140124728907,-8.687750586084332,-8.549729958150284,-9.535388962053144,,,-9.591907529810097,-8.06056200986386,,-8.589382661555582,-8.563775145831343
