,MFE,RMSE
MMM,-0.06618467333975223,0.5472398727657407
AXP,-0.05534934039402574,0.550481254110062
AMGN,-0.019955029643544616,0.5354437410498216
AAPL,-0.1027646248847528,0.5998904749383469
BA,-0.022149464130745748,0.5951596018106364
CAT,-0.06195475071519488,0.5359458792507912
CVX,-0.030571871922094457,0.4918157701674448
CSCO,-0.10509139562338554,0.5115988105109499
KO,-0.03622535273007255,0.49539044271429467
DIS,-0.08181653234905226,0.5743345616125446
DOW,-0.07464211420404061,0.4801785342069722
GS,-0.05669723656723811,0.5124000178129602
HD,-0.1060249544871714,0.5454155515136904
HON,-0.1275032807605108,0.560834206535596
IBM,-0.03393376932116955,0.5348625389344321
INTC,-0.07214262389878014,0.5401451840398793
JNJ,0.0012760190954656744,0.5403041690694952
JPM,-0.07886016800003448,0.5287487271829433
MCD,-0.07050169635145612,0.5401162037548105
MRK,-0.07001797593674365,0.5340703493207877
MSFT,-0.048963936149805716,0.5446792907745032
NKE,-0.03346118472925588,0.5210791868965214
PG,-0.032961038583373,0.5059904104463671
CRM,-0.13456532726092554,0.5832071267238453
TRV,-0.034500629435732066,0.5211921800438486
UNH,-0.10144015903194593,0.5636505118039032
VZ,-0.088065399717125,0.5223918041877733
V,-0.06337721989955193,0.560778397122511
WBA,-0.021425730435907245,0.5803563273176313
WMT,-0.05143616114983263,0.5528176874319037
