,MFE,RMSE
MMM,-0.013023346078134414,0.5232643057117351
AXP,-0.005994946136060505,0.5391689861284534
AMGN,-0.0069435562346327915,0.5240897853868004
AAPL,-0.029609756731227142,0.5769097108201648
BA,0.0015029002678620651,0.5678566123523648
CAT,-0.012424364540319062,0.5185410597328362
CVX,-0.0044401846404046605,0.468720994972729
CSCO,-0.030604256174858197,0.4902540674177107
KO,-0.009078110244678191,0.48111946840250025
DIS,-0.013315819180047142,0.5480489359135664
DOW,-0.03342654579728128,0.4758102485150906
GS,-0.01003200501040942,0.4971535868764272
HD,-0.019998554033319533,0.519913113241229
HON,-0.03145073503750805,0.5282647136719978
IBM,-0.005937052797669563,0.525544779657513
INTC,-0.01598032004838397,0.5251962428086395
JNJ,0.002790464105451052,0.5306160057444594
JPM,-0.012158726226923221,0.5150955311577756
MCD,-0.016900739563335106,0.5193604598935738
MRK,-0.019937809387608727,0.5231355607053219
MSFT,-0.010554675010893964,0.5231864272324822
NKE,-0.006474771353426892,0.5128608453601746
PG,-0.00795525260684723,0.4912833944557911
CRM,-0.04015732164482252,0.5528171268979918
TRV,-0.0030407662460468776,0.5053472961988517
UNH,-0.020300783444295766,0.5356732567346261
VZ,-0.020598852105523622,0.5058781550105365
V,-0.011285008916208445,0.5375299714008532
WBA,-0.0010735129790096763,0.5634855103811218
WMT,-0.011717503686432762,0.5383854027012084
