,MFE,RMSE
MMM,-0.0317719899248373,0.5330004671149928
AXP,-0.006498123780869237,0.5418205831632406
AMGN,-0.010694277200493587,0.529564557124446
AAPL,-0.032768739141300046,0.5825948643306228
BA,-0.014625690762731213,0.5808868020845095
CAT,-0.024537881898275504,0.5246761692839089
CVX,-0.01112305164040412,0.47469703234543287
CSCO,-0.04511108507156335,0.4966591953955499
KO,-0.013973535151093902,0.48701099432085965
DIS,-0.03952712882756455,0.5564443177376674
DOW,-0.02522641818427659,0.4806212086226811
GS,-0.019780398013334578,0.5048858071962344
HD,-0.047624237772098406,0.5280191191532259
HON,-0.05522260620200803,0.5382710687570776
IBM,-0.01684593638436535,0.5278895996786703
INTC,-0.03412137763210584,0.5296039920573217
JNJ,0.007453448140348366,0.5368306255267034
JPM,-0.023838592611270387,0.5194830087361115
MCD,-0.019543979851951727,0.5272033546811075
MRK,-0.029701816076716615,0.5289527186060248
MSFT,-0.027514895406744445,0.5378649746463602
NKE,-0.003972381910665876,0.5142234864877996
PG,-0.011915223539521947,0.4977488527074398
CRM,-0.05808952803883317,0.5634945270066671
TRV,-0.006190630203447247,0.5167459303962951
UNH,-0.05549901236068373,0.546905236230681
VZ,-0.040839804604728525,0.5098778073742534
V,-0.01880174087091957,0.5476277914847062
WBA,-0.011107307058779135,0.5688106236187082
WMT,-0.022564131620552038,0.5447282329637224
