,MFE,RMSE
MMM,0.000407,0.593533
AXP,0.000946,0.617997
AMGN,0.000377,0.602049
AAPL,0.000802,0.649876
BA,0.000761,0.649813
CAT,0.000321,0.605586
CVX,0.00102,0.528198
CSCO,0.000408,0.554491
KO,0.000439,0.554422
DIS,0.000988,0.626082
DOW,0.001718,0.550666
GS,-0.000228,0.567662
HD,-0.000928,0.589629
HON,-0.000714,0.598042
IBM,-0.000544,0.604337
INTC,2.2e-05,0.603794
JNJ,0.000535,0.618489
JPM,0.000384,0.587107
MCD,0.000398,0.595088
MRK,0.000468,0.606268
MSFT,0.000391,0.593295
NKE,0.000117,0.588642
PG,0.000403,0.568798
CRM,0.000608,0.615826
TRV,0.000651,0.569717
UNH,-0.00018,0.617037
VZ,0.000217,0.586413
V,0.001059,0.612184
WBA,-2.4e-05,0.646234
WMT,0.000705,0.621633
